# 化学式/元素 自定义词库(由 chemical(7) 微软全拼 v7 转换, 格式: 词	q'y	权重)
# 用法: 打术语全拼出化学式(如 an'gen->NH₄⁺); 打元素符号或拼音出元素名(ac/锕->锕)
ClO₃⁻	lv'suan'gen	100
KClO₃	lv'suan'jia	100
CH₃CH₂Cl	lv'yi'wan	100
C₂H₅Cl	lv'yi'wan	100
CH₂=CHCl	lv'yi'xi	100
Mt	mai	100
C₁₂H₂₂O₁₁	mai'ya'tang	100
Na₂SO₄·10H₂O	mang'xiao	100
镆	mc	100
钔	md	100
3s²	mei	100
5f⁷7s²	mei	100
Am	mei	100
Mg	mei	100
镁	mei	100
镅	mei	100
Mg²⁺	mei'li'zi	100
5f¹³7s²	men	100
Md	men	100
钔	men	100
3d⁵4s²	meng	100
Mn	meng	100
锰	meng	100
Mn²⁺	meng'li'zi	100
MnO₄²⁻	meng'suan'gen	100
K₂MnO₄	meng'suan'jia	100
镁	mg	100
㎡	mi	100
㎥	mi	100
㏕	mi'er	100
—O—	mi'jian	100
PbO	mi'tuo'seng	100
㎰	miao	100
㎱	miao	100
㎲	miao	100
㎳	miao	100
KAl(SO₄)₂·12H₂O	ming'fan	100
锰	mn	100
Mc	mo	100
钼	mo	100
镆	mo	100
㏖	mo'er	100
mol/L 	mo'er'mei'sheng	100
mol·L⁻¹·s⁻¹	mo'er'mei'sheng'mei'miao	100
8.3144621 J/(mol·K)	mo'er'qi'ti'chang'liang	100
FeSO₄·(NH₄)₂SO₄·6H₂O	mo'er'yan	100
4d⁵5s¹	mu	100
Mo	mu	100
钼	mu	100
氮	n	100
456	n'n	100
946	n'n	100
N≡N	n'n	100
N═N	n'n	100
230	n'o	100
607	n'o	100
N—O	n'o	100
N═O	n'o	100
3s¹	na	100
5f⁴6d¹7s²	na	100
Na	na	100
Np	na	100
钠	na	100
镎	na	100
Na⁺	na'li'zi	100
㎚	na'mi	100
367	nabr	100
Na—Br	nabr	100
412	nacl	100
Na—Cl	nacl	100
519	naf	100
Na—F	naf	100
186	nah	100
Na—H	nah	100
2s²2p⁶	nai	100
304	nai	100
C₁₀H₈	nai	100
Na—I	nai	100
Ne	nai	100
氖	nai	100
铌	nb	100
钕	nd	100
氖	ne	100
389	nh	100
N—H	nh	100
4d⁴5s¹	ni	100
Nb	ni	100
Nh	ni	100
铌	ni	100
镊	ni	100
CO(NH₂)₂	niao'su	100
3d⁸4s²	nie	100
Ni	nie	100
镊	nie	100
锘	no	100
镎	np	100
5f¹⁴7s²	nuo	100
No	nuo	100
锘	nuo	100
4f⁴6s²	nv	100
Nd	nv	100
钕	nv	100
氧	o	100
146	o'o	100
498	o'o	100
O—O	o'o	100
O═O	o'o	100
464	oh	100
O—H	oh	100
锇	os	100
Ω	ou'mu	100
㏀	ou'mu	100
㏁	ou'mu	100
磷	p	100
镤	pa	100
㎩	pa'si'ka	100
㎪	pa'si'ka	100
㎫	pa'si'ka	100
㎬	pa'si'ka	100
Na₂SiO₃	pao'hua'jian	100
铅	pb	100
382	pbo	100
Pb—O	pbo	100
272	pbr	100
P—Br	pbr	100
346	pbs	100
Pb—S	pbs	100
331	pcl	100
P—Cl	pcl	100
钯	pd	100
5f⁹7s²	pei	100
Bk	pei	100
锫	pei	100
2s²2p¹	peng	100
B	peng	100
硼	peng	100
Na₂B₄O₇·10H₂O	peng'sha	100
H₃BO₃	peng'suan	100
322	ph	100
P—H	ph	100
㏗	ph	100
2s²	pi	100
Be	pi	100
铍	pi	100
As₂O₃	pi'shuang	100
Na₂SO₄·10H₂O	pi'xiao	100
[(CH₃)₂NNH₂]	pian'er'jia'jing	100
AlO₂⁻	pian'lv'suan'gen	100
NaAlO₂	pian'lv'suan'na	100
C₄H₆O₅	ping'guo'suan	100
钷	pm	100
410	po	100
4f⁵6s²	po	100
6s²6p⁴	po	100
Pm	po	100
Po	po	100
P—O	po	100
P═O	po	100
钋	po	100
钷	po	100
213	pp	100
P—P	pp	100
镨	pr	100
铂	pt	100
4f³6s²	pu	100
5f²6d¹7s²	pu	100
Pa	pu	100
Pr	pu	100
钚	pu	100
镤	pu	100
镨	pu	100
6.62607015×10⁻³⁴J·s	pu'lang'ke'chang'shu	100
C₆H₁₂O₆	pu'tao'tang	100
C₆H₁₂O₇	pu'tao'tang'suan	100
↑	qi'ti	100
Mn₂O₇	qi'yang'hua'er'meng	100
6s²6p²	qian	100
Pb	qian	100
铅	qian	100
Pb₃O₄	qian'dan	100
‰	qian'fen'zhi	100
kJ/mol	qian'jiao'mei'mo	100
Pb²⁺	qian'li'zi	100
㎞	qian'mi	100
㎢	qian'mi	100
㎦	qian'mi	100
—OH	qiang'ji	100
1s¹	qing	100
H	qing	100
H₂	qing	100
氢	qing	100
HI	qing'dian'suan	100
HF	qing'fu'suan	100
CN⁻	qing'gen	100
KCN	qing'hua'jia	100
NaCN	qing'hua'na	100
HCN	qing'hua'qing	100
—CN	qing'ji	100
—H	qing'ji	100
H⁺	qing'li'zi	100
H₃O⁺	qing'li'zi	100
H₂S	qing'liu'suan	100
H₂	qing'qi	100
HCN	qing'qing'suan	100
HBr	qing'xiu'suan	100
OH⁻	qing'yang'gen	100
Ba(OH)₂	qing'yang'hua'bei	100
Ca(OH)₂	qing'yang'hua'gai	100
KOH	qing'yang'hua'jia	100
LiOH	qing'yang'hua'li	100
Al(OH)₃	qing'yang'hua'lv	100
Mg(OH)₂	qing'yang'hua'mei	100
Mn(OH)₂	qing'yang'hua'meng	100
NaOH	qing'yang'hua'na	100
Fe(OH)₃	qing'yang'hua'tie	100
Cu(OH)₂	qing'yang'hua'tong	100
Zn(OH)₂	qing'yang'hua'xin	100
Fe(OH)₂	qing'yang'hua'ya'tie	100
MnO(OH)	qing'yang'hua'yang'meng	100
—SH	qiu'ji	100
CₙH₂ₙ₊₁CHO	quan	100
—CHO	quan'ji	100
CₙH₂ₙ₋₂	que'ting	100
